"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Weekly Norovirus Report, 9 November 2023","2023-11-09","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-11-09",1699488000000
"Weekly Norovirus Report, 16 November 2023","2023-11-16","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-11-16",1700092800000
"Weekly Norovirus Report, 23 November 2023","2023-11-23","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-11-23",1700697600000
"Weekly Norovirus Report, 30 November 2023","2023-11-30","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-11-30",1701302400000
"Weekly Norovirus Report, 7 December 2023","2023-12-07","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-12-07",1701907200000
"Weekly Norovirus Report, 14 December 2023","2023-12-14","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-12-14",1702512000000
"Weekly Norovirus Report, 21 December 2023","2023-12-21","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-12-21",1703116800000
"Weekly Norovirus Report, 28 December 2023","2023-12-28","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-12-28",1703721600000
"Weekly Norovirus Report, 4 January 2024","2024-01-04","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-01-04",1704326400000
"Weekly Norovirus Report, 11 January 2024","2024-01-08","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-01-08",1704672000000
"Weekly Norovirus Report, 18 January 2024","2024-01-18","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-01-18",1705536000000
"Weekly Norovirus Report, 25 January 2024","2024-01-25","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-01-25",1706140800000
"Weekly Norovirus Report, 1 February 2024","2024-02-01","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-02-01",1706745600000
"Weekly Norovirus Report, 8 February 2024","2024-02-08","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-02-08",1707350400000
"Weekly Norovirus Report, 15 February 2024","2024-02-15","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-02-15",1707955200000
"Weekly Norovirus Report, 22 February 2024","2024-02-22","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-02-22",1708560000000
"Weekly Norovirus Report, 29 February 2024","2024-02-29","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-02-29",1709164800000
"Weekly Norovirus Report, 7 March 2024","2024-03-07","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2024-03-07",1709769600000
